date,daynum,month ,day,cumulative_confirmed_cases,new_confirmed_cases,cumulative_deaths,new_deaths,hospitalized_currently,hospitalized_cumulative,InICU_currently,InICU_cumulative,OnVentilator_Currently,OnVentilator_Cumulative,Recovered_Cumulative,cumulative_confirmed_cases_0_9,cumulative_confirmed_cases_10_19,cumulative_confirmed_cases_20_29,cumulative_confirmed_cases_30_39,cumulative_confirmed_cases_40_49,cumulative_confirmed_cases_50_59,cumulative_confirmed_cases_60_69,cumulative_confirmed_cases_70_79,cumulative_confirmed_cases_80plus,cumulative_confirmed_hospitalizations_0_9,cumulative_confirmed_hospitalizations_10_19,cumulative_confirmed_hospitalizations_20_29,cumulative_confirmed_hospitalizations_30_39,cumulative_confirmed_hospitalizations_40_49,cumulative_confirmed_hospitalizations_50_59,cumulative_confirmed_hospitalizations_60_69,cumulative_confirmed_hospitalizations_70_79,cumulative_confirmed_hospitalizations_80plus,cumulative_confirmed_deaths_0_9,cumulative_confirmed_deaths_10_19,cumulative_confirmed_deaths_20_29,cumulative_confirmed_deaths_30_39,cumulative_confirmed_deaths_40_49,cumulative_confirmed_deaths_50_59,cumulative_confirmed_deaths_60_69,cumulative_confirmed_deaths_70_79,cumulative_confirmed_deaths_80plus,Cumulative_hospital_deaths,Cumulative_hospital_discharges
43888,58,2,27,0,,0,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43889,59,2,28,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43890,60,2,29,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43891,61,3,1,2,,0,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43892,62,3,2,2,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43893,63,3,3,2,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43894,64,3,4,2,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43895,65,3,5,3,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43896,66,3,6,3,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43897,67,3,7,3,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43898,68,3,8,3,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43899,69,3,9,4,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43900,70,3,10,5,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43901,71,3,11,5,,0,,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43902,72,3,12,13,,0,,5,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43903,73,3,13,19,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43904,74,3,14,19,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43905,75,3,15,20,,0,,9,10,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43906,76,3,16,22,,0,,11,12,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43907,77,3,17,33,,0,,17,18,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43908,78,3,18,44,,0,,20,21,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43909,79,3,19,61,,1,,21,23,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43910,80,3,20,74,,1,,26,28,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43911,81,3,21,88,,1,,27,31,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43912,82,3,22,113,,1,,29,33,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43913,83,3,23,129,,1,,43,48,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43914,84,3,24,148,,1,,50,55,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43915,85,3,25,176,,1,,54,60,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
43916,86,3,26,217,,1,,59,70,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11
43917,87,3,27,248,,3,,66,79,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12
43918,88,3,28,311,,4,,74,92,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15
43919,89,3,29,416,,6,,77,100,18,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19
43920,90,3,30,494,,9,,92,120,20,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,24
43921,91,3,31,567,,11,,95,131,22,,13,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31
43922,92,4,1,669,,12,,106,149,30,,15,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,38
43923,93,4,2,731,,16,,120,171,36,,21,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,44
43924,94,4,3,831,,19,,136,194,43,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,51
43925,95,4,4,968,,28,,149,216,41,,30,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,55
43926,96,4,5,1150,,30,,159,236,44,,36,,35,0,13,104,136,123,176,150,86,89, ,,,,,,,,,,,,,,,,,,13,64
43927,97,4,6,1356,,37,,178,262,48,,40,,35,2.5,19,123,153,146,202,172,100,106, ,,,,,,,,,,,,,,,,,,13,71
43928,98,4,7,1617,,42,,191,281,50,,42,,35,2.5,23,132,170,165,240,196,115,133.5, ,,,,,,,,,,,,,,,,,,15,75
43929,99,4,8,1889,,52,,197,300,50,,38,,35,6,25,166,188,195,289,226,127,155.5, ,,,,,,,,,,,,,,,,,,21,82
43930,100,4,9,2169,,59,,216,332,53,,40,,35,8,36,204,231,239,335,275,155,198.5, ,,,,,,,,,,,,,,,,,,25,91
43931,101,4,10,2572,,70,,225,361,59,,41,,35,9,46,244,259,284,393,313,170,231.5, ,,,,,,,,,,,,,,,,,,30,106
43932,102,4,11,2853,,82,,241,390,61,,48,,35,11,52,279,287,317,441,348,191,263.5, ,,,,,,,,,,,,,,,,,,32,117
43933,103,4,12,3142,,91,,258,425,59,,49,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,130
43934,104,4,13,3329,,100,,277,460,64,,54,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,143
