date,daynum,month ,day,cumulative_confirmed_cases,new_confirmed_cases,cumulative_deaths,new_deaths,hospitalized_currently,hospitalized_cumulative,InICU_currently,InICU_cumulative,OnVentilator_Currently,OnVentilator_Cumulative,Recovered_Cumulative,cumulative_confirmed_cases_0_9,cumulative_confirmed_cases_10_19,cumulative_confirmed_cases_20_29,cumulative_confirmed_cases_30_39,cumulative_confirmed_cases_40_49,cumulative_confirmed_cases_50_59,cumulative_confirmed_cases_60_69,cumulative_confirmed_cases_70_79,cumulative_confirmed_cases_80plus,cumulative_confirmed_hospitalizations_0_9,cumulative_confirmed_hospitalizations_10_19,cumulative_confirmed_hospitalizations_20_29,cumulative_confirmed_hospitalizations_30_39,cumulative_confirmed_hospitalizations_40_49,cumulative_confirmed_hospitalizations_50_59,cumulative_confirmed_hospitalizations_60_69,cumulative_confirmed_hospitalizations_70_79,cumulative_confirmed_hospitalizations_80plus,cumulative_confirmed_deaths_0_9,cumulative_confirmed_deaths_10_19,cumulative_confirmed_deaths_20_29,cumulative_confirmed_deaths_30_39,cumulative_confirmed_deaths_40_49,cumulative_confirmed_deaths_50_59,cumulative_confirmed_deaths_60_69,cumulative_confirmed_deaths_70_79,cumulative_confirmed_deaths_80plus,Cumulative_hospital_deaths,Cumulative_hospital_discharges
43888,58,2,27,0,,0,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43889,59,2,28,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43890,60,2,29,0,,0,,1,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43891,61,3,1,2,,0,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43892,62,3,2,2,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43893,63,3,3,2,,0,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43894,64,3,4,2,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43895,65,3,5,3,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43896,66,3,6,3,,0,,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43897,67,3,7,3,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43898,68,3,8,3,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43899,69,3,9,4,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43900,70,3,10,5,,0,,3,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43901,71,3,11,5,,0,,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43902,72,3,12,13,,0,,5,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
43903,73,3,13,19,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43904,74,3,14,19,,0,,8,9,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43905,75,3,15,20,,0,,9,10,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43906,76,3,16,22,,0,,11,12,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43907,77,3,17,33,,0,,17,18,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43908,78,3,18,44,,0,,20,21,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
43909,79,3,19,61,,1,,21,23,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43910,80,3,20,74,,1,,26,28,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
43911,81,3,21,88,,1,,27,31,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43912,82,3,22,113,,1,,29,33,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
43913,83,3,23,129,,1,,43,48,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43914,84,3,24,148,,1,,51,56,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
43915,85,3,25,176,,1,,54,61,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7
43916,86,3,26,217,,1,,58,70,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12
43917,87,3,27,248,,3,,65,79,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13
43918,88,3,28,312,,4,,73,89,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15
43919,89,3,29,417,,6,,76,97,17,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18
43920,90,3,30,495,,9,,90,116,18,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23
43921,91,3,31,568,,11,,93,127,20,,12,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30
43922,92,4,1,668,,12,,104,145,28,,15,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,37
43923,93,4,2,730,,16,,118,167,34,,21,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,43
43924,94,4,3,830,,19,,134,190,41,,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50
43925,95,4,4,968,,28,,147,212,40,,29,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,54
43926,96,4,5,1149,,30,,157,232,43,,35,,35,0,13,104,136,123,176,150,86,89, ,,,,,,,,,,,,,,,,,,12,63
43927,97,4,6,1356,,37,,177,258,47,,39,,35,2.5,19,123,153,146,202,172,100,106, ,,,,,,,,,,,,,,,,,,12,69
43928,98,4,7,1617,,42,,191,278,49,,41,,35,2.5,23,132,170,165,240,196,115,133.5, ,,,,,,,,,,,,,,,,,,14,73
43929,99,4,8,1888,,52,,197,297,49,,37,,35,6,25,166,188,195,289,226,127,155.5, ,,,,,,,,,,,,,,,,,,20,80
43930,100,4,9,2165,,59,,217,329,53,,40,,35,8,36,204,231,239,335,275,155,198.5, ,,,,,,,,,,,,,,,,,,24,88
43931,101,4,10,2565,,70,,224,358,59,,41,,35,9,46,244,259,284,393,313,170,231.5, ,,,,,,,,,,,,,,,,,,29,105
43932,102,4,11,2846,,82,,240,387,61,,48,,35,11,52,279,287,317,441,348,191,263.5, ,,,,,,,,,,,,,,,,,,31,116
43933,103,4,12,3131,,91,,257,422,59,,49,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,129
43934,104,4,13,3318,,100,,276,457,64,,54,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,142
